student_id,alias,evidence_id,mission_id,question_id,indicator_id,evidence_type,title,content,source_tag,is_verified,score,max_score,timestamp
SD-2ETP3,Radar,ev_01_rad_sc01,m1,q01_t1,T1,AUTHOR,ผู้เผยแพร่ระดับสากล CDC,ข้อมูลคำแนะนำชั่วโมงการนอนมาจากหน่วยงานสาธารณสุขสหรัฐฯ (CDC) ซึ่งเป็นองค์กรที่น่าเชื่อถือและมีงานวิจัยรองรับ,SC01,TRUE,4,4,2026-08-15T13:24:12.100Z
SD-2ETP3,Radar,ev_02_rad_sc02,m1,q05_c1,C1,SOURCE,การเทียบเคียงแหล่งข้อมูลทางการแพทย์,คณะแพทยศาสตร์รามาธิบดีระบุวัยรุ่นต้องการเวลานอน 8-10 ชม. สอดคล้องกับแนวทางสากลของ CDC,SC02,TRUE,4,4,2026-08-15T13:26:05.420Z
SD-2ETP3,Radar,ev_m1_1786851763441_01,m1,q1_single,T1,AUTHOR,SC01: ตรวจสอบผู้ส่งสารในแชทกลุ่มไลน์,"พบข้อความส่งต่อ ""ด่วนที่สุด! โรงเรียนจะสั่งปิด 1 สัปดาห์"" จากผู้ใช้ไม่ระบุชื่อชัดเจนและไม่มีตราประทับทางการของโรงเรียน",Line Group Chat - ข่าวสารห้อง ม.2,TRUE,10,10,2026-08-15T09:42:43.441Z
SD-2ETP3,Radar,ev_m1_1786851763441_02,m1,q2_date,T2,DATE,SC02: ตรวจสอบวันที่ในภาพประกาศที่ถูกแชร์,พบว่าประกาศที่ถูกส่งต่อเป็นเอกสารเก่าของปีการศึกษา 2566 นำมาแชร์ซ้ำทำให้เกิดความเข้าใจผิดว่าเกิดขึ้นในสัปดาห์นี้,Facebook School Page Archive,TRUE,10,10,2026-08-15T10:42:43.441Z
SD-2ETP3,Radar,ev_m2_1786851763441_01,m2,q5_claim,C1,CLAIM,SC04: วิเคราะห์ข้ออ้างสรรพคุณเกินจริง,"โฆษณาอ้างว่า ""น้ำหมักชีวภาพสูตรพิเศษดื่มแล้วรักษามะเร็งหายขาดภายใน 3 วัน"" ซึ่งขัดกับหลักการแพทย์และไม่มีผลการทดลองทางคลินิกรองรับ",TikTok Viral Health Video Clip,TRUE,10,10,2026-08-15T15:42:43.441Z
SD-2ETP3,Radar,ev_m3_1786851763441_01,m3,q9_video_cut,E1,PROCESS,SC07: ตรวจสอบความผิดปกติของภาพและเสียง (Deepfake/Cut),พบรอยต่อของคลื่นเสียงที่ถูกตัดแปะในวินาทีที่ 0:14 และระดับแสงเงาบริเวณใบหน้าที่ไม่สัมพันธ์กับการเคลื่อนไหวในคลิปวิดีโอ,Digital Video Forensic Inspection,TRUE,10,10,2026-08-15T21:42:43.441Z
SD-2ETP3,Radar,ev_m4_1786851763441_01,m4,q13_witness,S1,SOURCE,SC10: การรวบรวมหลักฐานปฐมภูมิจากพื้นที่เกิดเหตุ,บันทึกคำให้การของพยานบุคคล 3 คนที่อยู่ในเหตุการณ์จริง ระบุตรงกันว่าไม่ได้มีเหตุการณ์รุนแรงตามที่เพจข่าวท้องถิ่นโพสต์สร้างกระแส,Primary Witness Interview Transcript,TRUE,10,10,2026-08-16T01:42:43.441Z
SD-2FJTN,Petch,ev_03_pet_sc05,m1,q09_s1,S1,CLAIM,การตรวจจับเจตนาแฝงเชิงพาณิชย์,เพจชีวิตฟิตทุกวันมีโฆษณาขายเครื่องดื่มสูตรพิเศษล้อมรอบ จึงมีอคติและผลประโยชน์ทางการค้าแอบแฝง,SC05,TRUE,4,4,2026-08-15T13:25:40.880Z
SD-2FJTN,Petch,ev_m1_1786851763441_03,m1,q3_compare,T3,COMPARISON,SC03: เปรียบเทียบแถลงการณ์บนเว็บไซต์ทางการ,"ตรวจสอบเทียบกับเว็บไซต์ทางการของโรงเรียน พบประกาศยืนยันว่า ""จัดการเรียนการสอนตามปกติ ไม่มีการสั่งปิดโรงเรียนแต่อย่างใด""",www.school.ac.th/official-announcement,TRUE,10,10,2026-08-15T11:42:43.441Z
SD-2FJTN,Petch,ev_m1_1786851763441_04,m1,q4_decision,T4,DECISION,สรุปสำนวนคดีข่าวลือปิดโรงเรียน (Case Verdict M1),"ข่าวลือเรื่องการปิดโรงเรียนเป็น ""ข่าวปลอม (Fake News)"" ที่เกิดจากการนำรูปภาพเก่ามาตัดต่อและกระจายต่อเพื่อเรียกยอดแชร์ในกลุ่มแชท",Detective Final Report M1,TRUE,10,10,2026-08-15T12:42:43.441Z
SD-2FJTN,Petch,ev_m2_1786851763441_02,m2,q6_fda,C2,SOURCE,SC05: ตรวจสอบเลข อย. ในฐานข้อมูลระบบสารสนเทศ,ค้นหาเลขที่จดแจ้ง อย. ในระบบ e-Submission ของสำนักงานคณะกรรมการอาหารและยา พบว่าเป็นเลขปลอมที่สวมรอยผลิตภัณฑ์น้ำผลไม้ชนิดอื่น,FDA Thailand Official Registry Database,TRUE,10,10,2026-08-15T16:42:43.441Z
SD-2FJTN,Petch,ev_m3_1786851763441_02,m3,q10_cctv,E2,COMPARISON,SC08: เปรียบเทียบกับคลิปฉบับเต็มจากกล้องวงจรปิด,เมื่อนำคลิปที่ถูกแชร์มาเทียบกับกล้องวงจรปิดของโรงเรียน พบว่าอาจารย์กำลังสาธิตการแสดงในบทเรียน ไม่ได้กำลังดุด่านักเรียนอย่างที่ถูกตัดต่อบิดเบือน,School CCTV High-Definition Archive,TRUE,10,10,2026-08-15T22:42:43.441Z
SD-2FJTN,Petch,ev_m3_1786851763441_04,m3,q12_student_voice,E4,STUDENT_VOICE,เสียงสะท้อนนักเรียนหลังผ่านภารกิจสืบสวน,ได้เรียนรู้ว่าไม่ควรแชร์หรือคอมเมนต์ด่าทอตามกระแสโซเชียล เพราะภาพและเสียงสามารถตัดต่อบิดเบือนได้ ต้องหาคลิปฉบับเต็มและพยานแวดล้อมก่อนเสมอ,Detective Reflection & Ethics Log,TRUE,10,10,2026-08-16T00:42:43.441Z
SD-2FJTN,Petch,ev_m4_1786851763441_02,m4,q14_bias,S2,REASON,SC11: ตรวจสอบผลประโยชน์ทับซ้อนและเจตนาแอบแฝง,พบว่าเพจที่ปล่อยข่าวลือมีการแทรกแบนเนอร์โฆษณาเว็บพนันออนไลน์และขายสินค้า เพื่อหาผลประโยชน์จากยอดเข้าชมและการแชร์ (Clickbait Marketing),Page Commercial Monetization Audit,TRUE,10,10,2026-08-16T02:42:43.441Z
SD-68QME,Max,ev_04_max_scm203,m2,q03_c2,C2,DATE,การตรวจสอบความสดใหม่ของข้อมูล,ประกาศกระทรวงสาธารณสุขฉบับนี้เป็นของปี 2562 ไม่ใช่สถานการณ์ปัจจุบัน นำมาแชร์ซ้ำทำให้เข้าใจผิด,SC-M2-03,TRUE,4,4,2026-08-15T13:33:15.300Z
