studentAlias,studentId,missionId,questionId,indicatorId,evidenceId,evidenceType,title,content,sourceTag,isVerified,timestamp
Radar,SD-2ETP3,m1,q01_t1,T1,ev_01_rad_sc01,AUTHOR,ผู้เผยแพร่ระดับสากล CDC,ข้อมูลคำแนะนำชั่วโมงการนอนมาจากหน่วยงานสาธารณสุขสหรัฐฯ (CDC) ซึ่งเป็นองค์กรที่น่าเชื่อถือและมีงานวิจัยรองรับ,SC01,TRUE,2026-08-15T13:24:12.100Z
Radar,SD-2ETP3,m1,q05_c1,C1,ev_02_rad_sc02,SOURCE,การเทียบเคียงแหล่งข้อมูลทางการแพทย์,คณะแพทยศาสตร์รามาธิบดีระบุวัยรุ่นต้องการเวลานอน 8-10 ชม. สอดคล้องกับแนวทางสากลของ CDC,SC02,TRUE,2026-08-15T13:26:05.420Z
Radar,SD-2ETP3,m1,q1_single,T1,ev_m1_1786851763441_01,AUTHOR,SC01: ตรวจสอบผู้ส่งสารในแชทกลุ่มไลน์,"พบข้อความส่งต่อ ""ด่วนที่สุด! โรงเรียนจะสั่งปิด 1 สัปดาห์"" จากผู้ใช้ไม่ระบุชื่อชัดเจนและไม่มีตราประทับทางการของโรงเรียน",Line Group Chat - ข่าวสารห้อง ม.2,TRUE,2026-08-15T09:42:43.441Z
Radar,SD-2ETP3,m1,q2_date,T2,ev_m1_1786851763441_02,DATE,SC02: ตรวจสอบวันที่ในภาพประกาศที่ถูกแชร์,พบว่าประกาศที่ถูกส่งต่อเป็นเอกสารเก่าของปีการศึกษา 2566 นำมาแชร์ซ้ำทำให้เกิดความเข้าใจผิดว่าเกิดขึ้นในสัปดาห์นี้,Facebook School Page Archive,TRUE,2026-08-15T10:42:43.441Z
Radar,SD-2ETP3,m2,q5_claim,C1,ev_m2_1786851763441_01,CLAIM,SC04: วิเคราะห์ข้ออ้างสรรพคุณเกินจริง,"โฆษณาอ้างว่า ""น้ำหมักชีวภาพสูตรพิเศษดื่มแล้วรักษามะเร็งหายขาดภายใน 3 วัน"" ซึ่งขัดกับหลักการแพทย์และไม่มีผลการทดลองทางคลินิกรองรับ",TikTok Viral Health Video Clip,TRUE,2026-08-15T15:42:43.441Z
Radar,SD-2ETP3,m3,q9_video_cut,E1,ev_m3_1786851763441_01,PROCESS,SC07: ตรวจสอบความผิดปกติของภาพและเสียง (Deepfake/Cut),พบรอยต่อของคลื่นเสียงที่ถูกตัดแปะในวินาทีที่ 0:14 และระดับแสงเงาบริเวณใบหน้าที่ไม่สัมพันธ์กับการเคลื่อนไหวในคลิปวิดีโอ,Digital Video Forensic Inspection,TRUE,2026-08-15T21:42:43.441Z
Radar,SD-2ETP3,m4,q13_witness,S1,ev_m4_1786851763441_01,SOURCE,SC10: การรวบรวมหลักฐานปฐมภูมิจากพื้นที่เกิดเหตุ,บันทึกคำให้การของพยานบุคคล 3 คนที่อยู่ในเหตุการณ์จริง ระบุตรงกันว่าไม่ได้มีเหตุการณ์รุนแรงตามที่เพจข่าวท้องถิ่นโพสต์สร้างกระแส,Primary Witness Interview Transcript,TRUE,2026-08-16T01:42:43.441Z
Petch,SD-2FJTN,m1,q09_s1,S1,ev_03_pet_sc05,CLAIM,การตรวจจับเจตนาแฝงเชิงพาณิชย์,เพจชีวิตฟิตทุกวันมีโฆษณาขายเครื่องดื่มสูตรพิเศษล้อมรอบ จึงมีอคติและผลประโยชน์ทางการค้าแอบแฝง,SC05,TRUE,2026-08-15T13:25:40.880Z
Petch,SD-2FJTN,m1,q3_compare,T3,ev_m1_1786851763441_03,COMPARISON,SC03: เปรียบเทียบแถลงการณ์บนเว็บไซต์ทางการ,"ตรวจสอบเทียบกับเว็บไซต์ทางการของโรงเรียน พบประกาศยืนยันว่า ""จัดการเรียนการสอนตามปกติ ไม่มีการสั่งปิดโรงเรียนแต่อย่างใด""",www.school.ac.th/official-announcement,TRUE,2026-08-15T11:42:43.441Z
Petch,SD-2FJTN,m1,q4_decision,T4,ev_m1_1786851763441_04,DECISION,สรุปสำนวนคดีข่าวลือปิดโรงเรียน (Case Verdict M1),"ข่าวลือเรื่องการปิดโรงเรียนเป็น ""ข่าวปลอม (Fake News)"" ที่เกิดจากการนำรูปภาพเก่ามาตัดต่อและกระจายต่อเพื่อเรียกยอดแชร์ในกลุ่มแชท",Detective Final Report M1,TRUE,2026-08-15T12:42:43.441Z
