student_id,alias,log_id,mission_id,question_id,ai_used,ai_query_count,first_query_text,first_ai_response,timestamp
SD-2ETP3,Radar,SD-2ETP3_1786800387135,m1,q13_e1,TRUE,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-08-15T13:26:27.134Z
SD-2ETP3,Radar,SD-2ETP3_1786800391461,m1,q13_e1,TRUE,1,🔎 ควรหาข้อมูลอะไรเพิ่ม?,"🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]
• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)
• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว
• ปัจจัยเรื่อง ""คุณภาพการนอน"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง",2026-08-15T13:26:31.460Z
SD-68QME,Max,SD-68QME_1786801149369,m3,q07_m3,TRUE,2,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้",2026-08-15T13:39:09.368Z
SD-68QME,Max,SD-68QME_1786801150580,m3,q07_m3,TRUE,3,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้",2026-08-15T13:39:10.579Z
SD-68QME,Max,SD-68QME_1786801151439,m3,q07_m3,TRUE,4,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้",2026-08-15T13:39:11.439Z
SD-HJF6X,ข้าว,SD-HJF6X_1786802708849,m2,q12_m2,TRUE,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-08-15T14:05:08.849Z
SD-HJF6X,ข้าว,SD-HJF6X_1786802711989,m2,q12_m2,TRUE,1,🔎 ควรหาข้อมูลอะไรเพิ่ม?,"🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]
• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)
• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว
• ปัจจัยเรื่อง ""คุณภาพการนอน"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง",2026-08-15T14:05:11.988Z
SD-HJF6X,ข้าว,SD-HJF6X_1786802731549,m2,q12_m2,TRUE,2,คำแนะนำชั่งวโมงการนอน,"น้องนักสืบรับทราบคำถามเกี่ยวกับ ""คำแนะนำชั่งวโมงการนอน"" ครับ! 🔎

คำแนะนำในการสืบสวน:
คุณสามารถใช้ข้อมูลจากแผ่นเบาะแส (Source Cards) ในกระดานคดีมาประกอบการคิด โดยสังเกตชื่อผู้ส่งสาร ความน่าเชื่อถือขององค์กร และความสอดคล้องของตัวเลขชั่วโมงการนอนครับ!",2026-08-15T14:05:31.548Z
SD-PLTRN,Snack,SD-PLTRN_1786800822167,m2,q11_m2,TRUE,3,👤 ข้อมูลนี้มาจากใคร?,"👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]
ข้อมูลนี้เผยแพร่โดย ""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล"" ระบุเรื่อง ""ความสัมพันธ์เชิงสถิติ"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน",2026-08-15T13:33:42.167Z
SD-PLTRN,Snack,SD-PLTRN_1786800823011,m2,q11_m2,TRUE,4,👤 ข้อมูลนี้มาจากใคร?,"👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]
ข้อมูลนี้เผยแพร่โดย ""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล"" ระบุเรื่อง ""ความสัมพันธ์เชิงสถิติ"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน",2026-08-15T13:33:43.011Z
