studentAlias,studentId,assessmentType,assessmentId,score,maxScore,domainScores_THINK,domainScores_CHECK,domainScores_SOLVE,domainScores_EXPLAIN,domainScores_GROW,completedAt,answersCount,answersData
Radar,SD-2ETP3,BASELINE,asst_1786800003055,24,40,0.8,0.3,1,0.5,0.8,2026-08-15T13:20:03.055Z,0,NULL
Radar,SD-2ETP3,POST_TEST,asst_1786801914748,40,40,1,1,1,1,1,2026-08-15T13:51:54.748Z,0,NULL
Petch,SD-2FJTN,BASELINE,asst_1786800004845,25,40,0.8,0.7,1,0.5,0.4,2026-08-15T13:20:04.845Z,0,NULL
Petch,SD-2FJTN,POST_TEST,asst_1786801915008,40,40,1,1,1,1,1,2026-08-15T13:51:55.008Z,0,NULL
Max,SD-68QME,BASELINE,asst_1786800010472,26,40,0.8,0.3,1,0.5,1,2026-08-15T13:20:10.472Z,0,NULL
Max,SD-68QME,POST_TEST,asst_1786801918328,36,40,1,0.7,1,1,1,2026-08-15T13:51:58.328Z,0,NULL
ภูมิ,SD-88H7G,BASELINE,asst_1786803597691,31,40,1,0.7,1,1,0.4,2026-08-15T14:19:57.691Z,0,NULL
ภูมิ,SD-88H7G,POST_TEST,asst_1786804459391,40,40,1,1,1,1,1,2026-08-15T14:34:19.391Z,0,NULL
Tectid,SD-AXTTJ,BASELINE,asst_1786803631724,32,40,0.5,1,1,0.5,1,2026-08-15T14:20:31.724Z,0,NULL
Tectid,SD-AXTTJ,POST_TEST,asst_1786804504590,40,40,1,1,1,1,1,2026-08-15T14:35:04.590Z,0,NULL
Andrey,SD-C3JUV,BASELINE,asst_1786799989223,32,40,0.5,1,1,1,0.5,2026-08-15T13:19:49.223Z,0,NULL
Andrey,SD-C3JUV,POST_TEST,asst_1786801917851,40,40,1,1,1,1,1,2026-08-15T13:51:57.851Z,0,NULL
ข้าว,SD-HJF6X,BASELINE,asst_1786802291603,26,40,0.5,1,1,0.5,0.3,2026-08-15T13:58:11.603Z,0,NULL
ข้าว,SD-HJF6X,POST_TEST,asst_1786803415749,40,40,1,1,1,1,1,2026-08-15T14:16:55.749Z,0,NULL
Fino,SD-JCC9U,BASELINE,asst_1786802294507,25,40,0.3,1,1,0,0.9,2026-08-15T13:58:14.507Z,0,NULL
Fino,SD-JCC9U,POST_TEST,asst_1786803415555,40,40,1,1,1,1,1,2026-08-15T14:16:55.555Z,0,NULL
Snack,SD-PLTRN,BASELINE,asst_1786799999800,23,40,0.5,0.3,1,0.5,0.9,2026-08-15T13:19:59.800Z,0,NULL
Snack,SD-PLTRN,POST_TEST,asst_1786801924263,36,40,0.5,1,1,1,1,2026-08-15T13:52:04.263Z,0,NULL
Ilrey,SD-XDLM6,BASELINE,asst_1786799990029,32,40,0.5,1,1,0.5,1,2026-08-15T13:19:50.029Z,0,NULL
Ilrey,SD-XDLM6,POST_TEST,asst_1786801913311,40,40,1,1,1,1,1,2026-08-15T13:51:53.311Z,0,NULL
