studentAlias,studentId,logDocId,missionId,questionId,sourceCardId,aiUsed,aiSessionCount,aiOpenCount,aiQueryCount,timestamp,queriesJSON
Radar,SD-2ETP3,SD-2ETP3_1786800387135,m1,q13_e1,SC01,TRUE,1,1,0,2026-08-15T13:26:27.134Z,[]
Radar,SD-2ETP3,SD-2ETP3_1786800391461,m1,q13_e1,SC01,TRUE,1,1,1,2026-08-15T13:26:31.460Z,"[{""aiMenuSelected"":""MENU_MORE_INFO"",""response"":""🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]\n• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)\n• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว\n• ปัจจัยเรื่อง \""คุณภาพการนอน\"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง"",""id"":""query_1786800391459"",""questionId"":""q13_e1"",""sourceCardId"":""SC01"",""timestamp"":""2026-08-15T13:26:31.459Z"",""query"":""🔎 ควรหาข้อมูลอะไรเพิ่ม?"",""contextScreen"":""MISSION_DETAIL""}]"
Max,SD-68QME,SD-68QME_1786801149369,m3,q07_m3,SC-M3-02,TRUE,1,2,2,2026-08-15T13:39:09.368Z,"[{""response"":""⚠️ [สัญญาณความเสี่ยงทั่วไป]\n• มีเจตนาแอบแฝงทางการค้า\n• เร่งเร้าให้ตัดสินใจทันที (\""ด่วนที่สุด\"", \""ลด 50%\"")\n• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้"",""contextScreen"":""MISSION_DETAIL"",""questionId"":""q07_m3"",""sourceCardId"":""SC-M3-02"",""query"":""⚠️ มีอะไรที่ควรระวัง?"",""timestamp"":""2026-08-15T13:39:09.368Z"",""aiMenuSelected"":""MENU_RISK"",""id"":""query_1786801149368""}]"
Max,SD-68QME,SD-68QME_1786801150580,m3,q07_m3,SC-M3-02,TRUE,1,2,3,2026-08-15T13:39:10.579Z,"[{""questionId"":""q07_m3"",""aiMenuSelected"":""MENU_RISK"",""contextScreen"":""MISSION_DETAIL"",""response"":""⚠️ [สัญญาณความเสี่ยงทั่วไป]\n• มีเจตนาแอบแฝงทางการค้า\n• เร่งเร้าให้ตัดสินใจทันที (\""ด่วนที่สุด\"", \""ลด 50%\"")\n• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้"",""sourceCardId"":""SC-M3-02"",""id"":""query_1786801150579"",""timestamp"":""2026-08-15T13:39:10.579Z"",""query"":""⚠️ มีอะไรที่ควรระวัง?""}]"
Max,SD-68QME,SD-68QME_1786801151439,m3,q07_m3,SC-M3-02,TRUE,1,2,4,2026-08-15T13:39:11.439Z,"[{""aiMenuSelected"":""MENU_RISK"",""sourceCardId"":""SC-M3-02"",""query"":""⚠️ มีอะไรที่ควรระวัง?"",""questionId"":""q07_m3"",""timestamp"":""2026-08-15T13:39:11.439Z"",""contextScreen"":""MISSION_DETAIL"",""id"":""query_1786801151439"",""response"":""⚠️ [สัญญาณความเสี่ยงทั่วไป]\n• มีเจตนาแอบแฝงทางการค้า\n• เร่งเร้าให้ตัดสินใจทันที (\""ด่วนที่สุด\"", \""ลด 50%\"")\n• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้""}]"
ข้าว,SD-HJF6X,SD-HJF6X_1786802708849,m2,q12_m2,SC-M2-07,TRUE,1,1,0,2026-08-15T14:05:08.849Z,[]
ข้าว,SD-HJF6X,SD-HJF6X_1786802711989,m2,q12_m2,SC-M2-07,TRUE,1,1,1,2026-08-15T14:05:11.988Z,"[{""timestamp"":""2026-08-15T14:05:11.988Z"",""sourceCardId"":""SC-M2-07"",""query"":""🔎 ควรหาข้อมูลอะไรเพิ่ม?"",""aiMenuSelected"":""MENU_MORE_INFO"",""response"":""🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]\n• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)\n• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว\n• ปัจจัยเรื่อง \""คุณภาพการนอน\"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง"",""id"":""query_1786802711988"",""contextScreen"":""MISSION_DETAIL"",""questionId"":""q12_m2""}]"
ข้าว,SD-HJF6X,SD-HJF6X_1786802731549,m2,q12_m2,SC-M2-07,TRUE,1,1,2,2026-08-15T14:05:31.548Z,"[{""id"":""query_1786802731548"",""contextScreen"":""MISSION_DETAIL"",""response"":""น้องนักสืบรับทราบคำถามเกี่ยวกับ \""คำแนะนำชั่งวโมงการนอน\"" ครับ! 🔎\n\nคำแนะนำในการสืบสวน:\nคุณสามารถใช้ข้อมูลจากแผ่นเบาะแส (Source Cards) ในกระดานคดีมาประกอบการคิด โดยสังเกตชื่อผู้ส่งสาร ความน่าเชื่อถือขององค์กร และความสอดคล้องของตัวเลขชั่วโมงการนอนครับ!"",""timestamp"":""2026-08-15T14:05:31.548Z"",""sourceCardId"":""SC-M2-07"",""questionId"":""q12_m2"",""aiMenuSelected"":""คำแนะนำชั่งวโมงการนอน"",""query"":""คำแนะนำชั่งวโมงการนอน""}]"
Snack,SD-PLTRN,SD-PLTRN_1786800822167,m2,q11_m2,SC-M2-04,TRUE,1,2,3,2026-08-15T13:33:42.167Z,"[{""questionId"":""q11_m2"",""query"":""👤 ข้อมูลนี้มาจากใคร?"",""response"":""👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]\nข้อมูลนี้เผยแพร่โดย \""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล\"" ระบุเรื่อง \""ความสัมพันธ์เชิงสถิติ\"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน"",""sourceCardId"":""SC-M2-04"",""aiMenuSelected"":""MENU_AUTHOR"",""timestamp"":""2026-08-15T13:33:42.167Z"",""contextScreen"":""MISSION_DETAIL"",""id"":""query_1786800822167""}]"
Snack,SD-PLTRN,SD-PLTRN_1786800823011,m2,q11_m2,SC-M2-04,TRUE,1,2,4,2026-08-15T13:33:43.011Z,"[{""questionId"":""q11_m2"",""aiMenuSelected"":""MENU_AUTHOR"",""response"":""👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]\nข้อมูลนี้เผยแพร่โดย \""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล\"" ระบุเรื่อง \""ความสัมพันธ์เชิงสถิติ\"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน"",""id"":""query_1786800823011"",""query"":""👤 ข้อมูลนี้มาจากใคร?"",""sourceCardId"":""SC-M2-04"",""timestamp"":""2026-08-15T13:33:43.011Z"",""contextScreen"":""MISSION_DETAIL""}]"
