student_id,alias,log_id,mission_id,question_id,source_card_id,ai_used,ai_session_count,ai_open_count,ai_query_count,timestamp,first_query_text,first_ai_response
SD-2ETP3,Radar,SD-2ETP3_1786800387135,m1,q13_e1,SC01,TRUE,1,1,0,2026-08-15T13:26:27.134Z,NA,NA
SD-2ETP3,Radar,SD-2ETP3_1786800391461,m1,q13_e1,SC01,TRUE,1,1,1,2026-08-15T13:26:31.460Z,🔎 ควรหาข้อมูลอะไรเพิ่ม?,"🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]
• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)
• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว
• ปัจจัยเรื่อง ""คุณภาพการนอน"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง"
SD-68QME,Max,SD-68QME_1786801149369,m3,q07_m3,SC-M3-02,TRUE,1,2,2,2026-08-15T13:39:09.368Z,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้"
SD-68QME,Max,SD-68QME_1786801150580,m3,q07_m3,SC-M3-02,TRUE,1,2,3,2026-08-15T13:39:10.579Z,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้"
SD-68QME,Max,SD-68QME_1786801151439,m3,q07_m3,SC-M3-02,TRUE,1,2,4,2026-08-15T13:39:11.439Z,⚠️ มีอะไรที่ควรระวัง?,"⚠️ [สัญญาณความเสี่ยงทั่วไป]
• มีเจตนาแอบแฝงทางการค้า
• เร่งเร้าให้ตัดสินใจทันที (""ด่วนที่สุด"", ""ลด 50%"")
• ไม่มีชื่อผู้รับผิดชอบหรือหน่วยงานที่ตรวจสอบได้"
SD-HJF6X,ข้าว,SD-HJF6X_1786802708849,m2,q12_m2,SC-M2-07,TRUE,1,1,0,2026-08-15T14:05:08.849Z,NA,NA
SD-HJF6X,ข้าว,SD-HJF6X_1786802711989,m2,q12_m2,SC-M2-07,TRUE,1,1,1,2026-08-15T14:05:11.988Z,🔎 ควรหาข้อมูลอะไรเพิ่ม?,"🔎 [ข้อมูลที่ควรสืบค้นเพิ่มเติม]
• คำแนะนำชั่วโมงการนอนจากองค์กรสากล (เช่น CDC หรือ สสส.)
• ผลกระทบของการนอนไม่พอต่อสุขภาพในระยะยาว
• ปัจจัยเรื่อง ""คุณภาพการนอน"" และสภาพแวดล้อมห้องนอนนอกเหนือจากจำนวนชั่วโมง"
SD-HJF6X,ข้าว,SD-HJF6X_1786802731549,m2,q12_m2,SC-M2-07,TRUE,1,1,2,2026-08-15T14:05:31.548Z,คำแนะนำชั่งวโมงการนอน,"น้องนักสืบรับทราบคำถามเกี่ยวกับ ""คำแนะนำชั่งวโมงการนอน"" ครับ! 🔎

คำแนะนำในการสืบสวน:
คุณสามารถใช้ข้อมูลจากแผ่นเบาะแส (Source Cards) ในกระดานคดีมาประกอบการคิด โดยสังเกตชื่อผู้ส่งสาร ความน่าเชื่อถือขององค์กร และความสอดคล้องของตัวเลขชั่วโมงการนอนครับ!"
SD-PLTRN,Snack,SD-PLTRN_1786800822167,m2,q11_m2,SC-M2-04,TRUE,1,2,3,2026-08-15T13:33:42.167Z,👤 ข้อมูลนี้มาจากใคร?,"👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]
ข้อมูลนี้เผยแพร่โดย ""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล"" ระบุเรื่อง ""ความสัมพันธ์เชิงสถิติ"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน"
SD-PLTRN,Snack,SD-PLTRN_1786800823011,m2,q11_m2,SC-M2-04,TRUE,1,2,4,2026-08-15T13:33:43.011Z,👤 ข้อมูลนี้มาจากใคร?,"👤 [วิเคราะห์ผู้เผยแพร่ SC-M2-04]
ข้อมูลนี้เผยแพร่โดย ""คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล"" ระบุเรื่อง ""ความสัมพันธ์เชิงสถิติ"" ซึ่งต้องแยกออกจากสาเหตุโดยตรงที่เกิดกับทุกคน"
